Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
APR_HepG2_CellLoss_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellLoss_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellLoss_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellLoss_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MicrotubuleCSK_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMass_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoMembPot_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_MitoticArrest_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_NuclearSize_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
