Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
BSK_CASM3C_TissueFactor_down,BSK,F3,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_TissueFactor_up,BSK,F3,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_uPAR_down,BSK,PLAUR,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_uPAR_up,BSK,PLAUR,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_VCAM1_down,BSK,VCAM1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_VCAM1_up,BSK,VCAM1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_CollagenIII_down,BSK,COL3A1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_CollagenIII_up,BSK,COL3A1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_EGFR_down,BSK,EGFR,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_EGFR_up,BSK,EGFR,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_IL8_down,BSK,CXCL8,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_IL8_up,BSK,CXCL8,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_IP10_down,BSK,CXCL10,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_IP10_up,BSK,CXCL10,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MCSF_down,BSK,CSF1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MCSF_up,BSK,CSF1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MIG_down,BSK,CXCL9,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MIG_up,BSK,CXCL9,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MMP1_down,BSK,MMP1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_MMP1_up,BSK,MMP1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_PAI1_down,BSK,SERPINE1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_PAI1_up,BSK,SERPINE1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_Proliferation_down,BSK,NA,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_Proliferation_up,BSK,NA,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_SRB_down,BSK,NA,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_SRB_up,BSK,NA,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_TIMP1_down,BSK,TIMP1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_TIMP1_up,BSK,TIMP1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_VCAM1_down,BSK,VCAM1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_hDFCGF_VCAM1_up,BSK,VCAM1,skin,foreskin fibroblast,tissue,,,,,,,,,,,,,,
BSK_KF3CT_ICAM1_down,BSK,ICAM1,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_ICAM1_up,BSK,ICAM1,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_IL1a_down,BSK,IL1A,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_IL1a_up,BSK,IL1A,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_IP10_down,BSK,CXCL10,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_IP10_up,BSK,CXCL10,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_MCP1_down,BSK,CCL2,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_MCP1_up,BSK,CCL2,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_MMP9_down,BSK,MMP9,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_MMP9_up,BSK,MMP9,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_SRB_down,BSK,NA,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_SRB_up,BSK,NA,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_TGFb1_down,BSK,TGFB1|TGFBR1,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_TGFb1_up,BSK,TGFB1|TGFBR1,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_TIMP2_down,BSK,TIMP2,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_TIMP2_up,BSK,TIMP2,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_uPA_down,BSK,PLAU,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_KF3CT_uPA_up,BSK,PLAU,skin,keratinocytes and foreskin fibroblasts,tissue,,,,,,,,,,,,,,
BSK_LPS_CD40_down,BSK,CD40,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_CD40_up,BSK,CD40,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_Eselectin_down,BSK,SELE,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_Eselectin_up,BSK,SELE,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_IL1a_down,BSK,IL1A,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_IL1a_up,BSK,IL1A,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_IL8_down,BSK,CXCL8,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_IL8_up,BSK,CXCL8,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_MCP1_down,BSK,CCL2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_MCP1_up,BSK,CCL2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_MCSF_down,BSK,CSF1,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_MCSF_up,BSK,CSF1,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_PGE2_down,BSK,PTGER2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_PGE2_up,BSK,PTGER2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_SRB_down,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_SRB_up,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_TissueFactor_down,BSK,F3,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_TissueFactor_up,BSK,F3,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_TNFa_down,BSK,TNF,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_TNFa_up,BSK,TNF,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_VCAM1_down,BSK,VCAM1,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_LPS_VCAM1_up,BSK,VCAM1,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD38_down,BSK,CD38,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD38_up,BSK,CD38,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD40_down,BSK,CD40,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD40_up,BSK,CD40,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD69_down,BSK,CD69,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_CD69_up,BSK,CD69,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_Eselectin_down,BSK,SELE,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_Eselectin_up,BSK,SELE,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_IL8_down,BSK,CXCL8,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_IL8_up,BSK,CXCL8,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_MCP1_down,BSK,CCL2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_MCP1_up,BSK,CCL2,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_MIG_down,BSK,CXCL9,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_MIG_up,BSK,CXCL9,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_PBMCCytotoxicity_down,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_PBMCCytotoxicity_up,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_Proliferation_down,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_Proliferation_up,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_SRB_down,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
BSK_SAg_SRB_up,BSK,NA,vascular,umbilical vein endothelium and peripheral blood mononuclear cells,tissue,,,,,,,,,,,,,,
CEETOX_H295R_11DCORT_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_11DCORT_noMTC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_11DCORT_noMTC_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_11DCORT_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ANDR_dn,CEETOX,AR|AR|AR|AR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ANDR_noMTC_dn,CEETOX,AR|AR|AR|AR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ANDR_noMTC_up,CEETOX,AR|AR|AR|AR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ANDR_up,CEETOX,AR|AR|AR|AR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTIC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTIC_noMTC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTIC_noMTC_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTIC_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTISOL_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTISOL_noMTC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_CORTISOL_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_DOC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_DOC_noMTC_dn,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_DOC_noMTC_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_DOC_up,CEETOX,NR3C1|NR3C2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRADIOL_dn,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRADIOL_noMTC_dn,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRADIOL_noMTC_up,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRADIOL_up,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRONE_dn,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRONE_noMTC_dn,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRONE_noMTC_up,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_ESTRONE_up,CEETOX,ESR1|ESR2|ESR1|ESR1|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_MTT_Cytotoxicity_dn,CEETOX,NA,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_MTT_Cytotoxicity_up,CEETOX,NA,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPREG_dn,CEETOX,PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPREG_noMTC_dn,CEETOX,NR1I2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPREG_noMTC_up,CEETOX,NR1I2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPREG_up,CEETOX,PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPROG_dn,CEETOX,PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPROG_noMTC_dn,CEETOX,NR1I2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPROG_noMTC_up,CEETOX,NR1I2,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_OHPROG_up,CEETOX,PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_PROG_dn,CEETOX,PGR|PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_PROG_noMTC_dn,CEETOX,PGR|PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_PROG_noMTC_up,CEETOX,PGR|PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_PROG_up,CEETOX,PGR|PGR,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_TESTO_dn,CEETOX,AR|ESR1|AR|AR|ESR1|AR|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_TESTO_noMTC_dn,CEETOX,AR|ESR1|ESR2|ESR1|AR|AR|ESR1|AR|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_TESTO_noMTC_up,CEETOX,AR|ESR1|ESR2|ESR1|AR|AR|ESR1|AR|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CEETOX_H295R_TESTO_up,CEETOX,AR|ESR1|AR|AR|ESR1|AR|ESR1,adrenal gland,H295R,gene target,,,,,,,,,,,,,,
CLD_ABCB1_24hr,CLD,ABCB1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCB1_48hr,CLD,ABCB1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCB1_6hr,CLD,ABCB1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCB11_24hr,CLD,ABCB11,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCB11_48hr,CLD,ABCB11,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCB11_6hr,CLD,ABCB11,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCG2_24hr,CLD,ABCG2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCG2_48hr,CLD,ABCG2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ABCG2_6hr,CLD,ABCG2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ACTIN_24hr,CLD,ACTB|ACTA1|ACTG1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ACTIN_48hr,CLD,ACTB|ACTA1|ACTG1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_ACTIN_6hr,CLD,ACTB|ACTA1|ACTG1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A1_24hr,CLD,CYP1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A1_48hr,CLD,CYP1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A1_6hr,CLD,CYP1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A2_24hr,CLD,CYP1A2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A2_48hr,CLD,CYP1A2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP1A2_6hr,CLD,CYP1A2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2B6_24hr,CLD,CYP2B6,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2B6_48hr,CLD,CYP2B6,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2B6_6hr,CLD,CYP2B6,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C19_24hr,CLD,CYP2C19,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C19_48hr,CLD,CYP2C19,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C19_6hr,CLD,CYP2C19,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C9_24hr,CLD,CYP2C9,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C9_48hr,CLD,CYP2C9,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP2C9_6hr,CLD,CYP2C9,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP3A4_24hr,CLD,CYP3A4,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP3A4_48hr,CLD,CYP3A4,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_CYP3A4_6hr,CLD,CYP3A4,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GAPDH_24hr,CLD,GAPDH,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GAPDH_48hr,CLD,GAPDH,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GAPDH_6hr,CLD,GAPDH,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GSTA2_24hr,CLD,GSTA2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GSTA2_48hr,CLD,GSTA2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_GSTA2_6hr,CLD,GSTA2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_HMGCS2_24hr,CLD,HMGCS2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_HMGCS2_48hr,CLD,HMGCS2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_HMGCS2_6hr,CLD,HMGCS2,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SLCO1B1_24hr,CLD,SLCO1B1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SLCO1B1_48hr,CLD,SLCO1B1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SLCO1B1_6hr,CLD,SLCO1B1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SULT2A_24hr,CLD,SULT2A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SULT2A_48hr,CLD,SULT2A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_SULT2A_6hr,CLD,SULT2A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_UGT1A1_24hr,CLD,UGT1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_UGT1A1_48hr,CLD,UGT1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
CLD_UGT1A1_6hr,CLD,UGT1A1,liver,hepatocyte,tissue,,,,,,,,,,,,,,
NCCT_HEK293T_CellTiterGLO,NCCT,NA,kidney,HEK293T,viability,,,,,,,,,,,,,,
NCCT_TPO_AUR_dn,NCCT,TPO,thyroid gland,NA,tissue,,,,,,,,,,,,,,
NCCT_TPO_GUA_dn,NCCT,TPO,thyroid gland,NA,tissue,,,,,,,,,,,,,,
NHEERL_MED_hDIO1_dn,NHEERL_MED,DIO1,thyroid gland,NA,tissue,,,,,,,,,,,,,,
NHEERL_ZF_144hpf_TERATOSCORE_up,NHEERL_PADILLA,NA,ova,zebrafish embryo,none,,,,,,,,,,,,,,
NIS_HEK293T_CTG_Cytotoxicity,NHEERL_NIS,NA,kidney,HEK293T,viability,,,,,,,,,,,,,,
NIS_RAIU_inhibition,NHEERL_NIS,SLC5A5,kidney,HEK293T,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP19A1,NVS,CYP19A1,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP19A1_Activator,NVS,CYP19A1,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP1A1,NVS,CYP1A1,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP1A1_Activator,NVS,CYP1A1,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP1A2,NVS,CYP1A2,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP1A2_Activator,NVS,CYP1A2,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP1B1,NVS,CYP1B1,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP1B1_Activator,NVS,CYP1B1,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2A6,NVS,CYP2A6,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2A6_Activator,NVS,CYP2A6,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2B6,NVS,CYP2B6,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2B6_Activator,NVS,CYP2B6,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2C18,NVS,CYP2C18,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2C18_Activator,NVS,CYP2C18,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2C19,NVS,CYP2C19,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2C19_Activator,NVS,CYP2C19,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2C8,NVS,CYP2C8,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2C8_Activator,NVS,CYP2C8,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2C9,NVS,CYP2C9,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2C9_Activator,NVS,CYP2C9,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2D6,NVS,CYP2D6,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2D6_Activator,NVS,CYP2D6,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2E1,NVS,CYP2E1,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2E1_Activator,NVS,CYP2E1,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP2J2,NVS,CYP2J2,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP2J2_Activator,NVS,CYP2J2,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP3A4,NVS,CYP3A4,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP3A4_Activator,NVS,CYP3A4,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP3A5,NVS,CYP3A5,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP3A5_Activator,NVS,CYP3A5,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_hCYP4F12,NVS,CYP4F12,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_hCYP4F12_Activator,NVS,CYP4F12,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_rCYP1A1,NVS,CYP1A1,NA,NA,gene target,,,,,,,,,,,,,,
NVS_ADME_rCYP1A1_Activator,NVS,CYP1A1,NA,NA,none,,,,,,,,,,,,,,
NVS_ADME_rCYP1A2,NVS,CYP1A2,NA,NA,gene target,,,,,,,,,,,,,,
